RGTLwBQugFNU,8/1/2011,10:22:40 PM,39.5554,-118.8878,23.94
YNBV5GZkeM2E,11/11/2011,9:36:54 PM,39.3308,-74.6049,102.00
oqLyjjYghOMi,12/24/2012,10:50:15 PM,33.4269,-101.8747,9.53
pbLnZzaoVN1i,12/30/2012,10:55:39 PM,42.7006,-71.1986,101.00
hvWhedskKkDj,2/9/2013,6:23:05 PM,42.9720,-85.5078,18.73
wCl0STpEf65E,2/9/2013,6:23:05 PM,42.9720,-85.5078,18.73
CWcDrlFjt61R,3/17/2013,6:16:27 PM,37.3210,-121.9492,1.05
LEW52bgt5nor,5/9/2013,5:12:01 AM,38.8622,-77.0591,39.00
IIgNXSCYbfAy,6/24/2013,1:40:08 AM,40.1712,-75.1282,103.00
cajtDeYSHNrL,8/31/2013,7:18:28 PM,39.7161,-83.8762,9.87
KyhT8fIwfuMG,10/8/2013,8:54:13 PM,25.9042,-81.3753,15.97
nUoZ5ZgF1ap2,10/8/2013,8:54:13 PM,25.9042,-81.3753,15.97
MnOiGkw5L4Gt,12/12/2013,10:06:40 PM,41.9746,-87.9008,59.00
HUHTKXFiRJdO,12/23/2013,7:38:52 PM,39.8472,-75.6862,13.56
fMwCxgrZgB1f,12/24/2013,9:20:55 PM,38.2582,-80.6700,98.00
dORwFTcRXaNW,12/25/2013,3:39:37 PM,38.2582,-80.6700,18.86
fl0aY8zdbLgB,12/25/2013,3:40:19 PM,38.2582,-80.6700,5.40
VqM6omDpi4BZ,12/25/2013,3:40:27 PM,38.2582,-80.6700,35.00
6Ig4nFkwXBGI,3/27/2014,12:54:54 PM,30.1162,-97.3331,54.00
GWd5aeDH5Bf8,3/27/2014,7:06:59 PM,24.8807,-80.7037,53.00
enxqVNzPAOK3,3/27/2014,7:07:59 PM,24.8834,-80.6995,31.00
So26Qosdt3Gc,3/29/2014,12:30:46 AM,34.7059,-118.1499,54.00
3WwdxfM3vcKN,6/25/2014,10:53:25 PM,33.5809,-117.5879,18.77
nQhrk6aO5KC7,6/29/2014,10:10:21 PM,37.7792,-122.4145,26.62
C2z6T766zyrl,7/27/2014,8:01:22 PM,39.7887,-86.2380,29.42
ZH04TyBzwxp4,7/27/2014,8:01:22 PM,39.7887,-86.2380,29.42
d35hw9imdTZ4,8/5/2014,7:01:51 PM,51.6220,-0.3400,34.00
cSQizlUdukTO,11/15/2014,9:01:30 PM,30.2784,-90.8146,25.28
cum543JW3azS,12/26/2014,7:05:07 PM,41.4374,-105.9201,32.00
EOeYMPTQP320,12/26/2014,7:05:07 PM,41.4374,-105.9201,32.00
rAuYxBQCA172,12/26/2014,7:05:07 PM,41.4374,-105.9201,32.00
W2bebttLNOXt,12/26/2014,7:05:07 PM,41.4374,-105.9201,32.00
gqMqwXAdhMf5,12/27/2014,11:40:00 PM,40.7207,-116.0116,20.16
MfSxUGHQ0sk3,12/27/2014,11:40:00 PM,40.7207,-116.0116,20.16
FtoxhzIsCWiZ,1/1/2015,2:02:16 AM,37.0870,-79.5752,5.97
d8hwkjjVCUyB,1/25/2015,1:51:57 AM,51.0513,-114.0786,227.00
aBEUU8TbWaXc,1/31/2015,12:47:30 PM,33.6665,-78.9086,30.00
eVLG1vbjzkIt,2/3/2015,1:16:03 AM,32.9414,-97.0300,102.00
zhyOwxEDDkuw,2/6/2015,9:55:35 PM,18.4338,-77.1672,4.51
lfwOyNsolOX5,2/19/2015,12:20:13 AM,30.1071,-91.9900,156.00
PagcKyNzL3xG,2/19/2015,12:20:13 AM,30.1071,-91.9900,156.00
AWOGoZzezXZR,3/11/2015,8:58:53 PM,36.7892,-104.5487,7.60
jnzwadKPGvWP,3/11/2015,8:58:53 PM,36.7892,-104.5487,7.60
FHbG1JJ4gme7,3/12/2015,11:16:41 PM,37.8405,-122.2642,57.00
rhFgoHN9NKXa,3/12/2015,11:16:41 PM,37.8405,-122.2642,57.00
0yeNWcY9YWtx,3/15/2015,7:00:43 PM,42.9145,-71.4038,9.37
5KvfUAoU48HZ,3/15/2015,7:00:43 PM,42.9145,-71.4038,9.37
A6GpdoFQrqt0,3/15/2015,7:00:43 PM,42.9145,-71.4038,9.37
W3jdopTRkdL3,4/16/2015,7:13:24 PM,21.3670,-157.7930,14.61
ATzrA4XgqgAb,5/9/2015,10:23:04 PM,30.5243,-87.9126,15.64
nSO3kp6RTdT3,5/19/2015,9:45:06 PM,27.1171,-80.2515,54.00
jaCFW5weXzzV,5/23/2015,11:12:13 PM,33.1925,-84.8920,102.00
pImknEP9afUM,6/5/2015,3:10:09 AM,39.3118,-76.6573,258.00
ltrsOdewZQFo,6/12/2015,9:28:52 PM,32.3331,-102.5541,89.00
XYlrk5StPkIP,6/14/2015,5:28:33 AM,19.5963,-155.9507,27.57
gQ3LZbDLDniu,7/16/2015,4:17:34 AM,40.6867,-111.8676,218.00
1hEoDfc3cMrZ,7/26/2015,8:42:28 PM,39.7546,-76.6988,149.00
KoAiRXxxgVes,8/5/2015,5:05:13 PM,43.0286,-78.9738,89.00
AzaJxGnpjkMy,8/31/2015,8:45:58 PM,35.0687,-84.1106,4.14
VCiOusygkmYF,8/31/2015,8:45:58 PM,35.0687,-84.1106,4.14
xulcdwxCrxfv,8/31/2015,8:45:58 PM,35.0687,-84.1106,4.14
jcfxitVpY4jg,9/7/2015,11:06:54 PM,33.5478,-84.5051,144.00
VWZw5LESioq8,9/7/2015,11:06:54 PM,33.5478,-84.5051,144.00
SvZv4ja2EJ12,10/3/2015,12:19:13 AM,39.9737,-82.8748,18.54
i5bR6hpgiHZV,10/10/2015,3:01:35 PM,39.7418,-104.9615,21.40
paWi6D5n5yTF,10/19/2015,3:40:19 AM,12.8690,100.9061,25.44
agdVl0gdIMcU,11/6/2015,11:27:31 PM,28.3552,-81.5599,46.00
aSjs6r9agobf,12/24/2015,9:46:03 PM,42.0104,-91.7215,7.21
